"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","20,600","20,550","20,675","20,450","3.57M","0.49%"
"27/06/2024","20,500","20,550","20,700","20,500","2.62M","-0.49%"
"26/06/2024","20,600","20,650","20,850","20,575","3.84M","0.00%"
"25/06/2024","20,600","20,575","21,000","20,575","3.19M","0.24%"
"24/06/2024","20,550","20,825","21,150","20,550","5.61M","-1.32%"
"21/06/2024","20,825","20,725","20,825","20,575","5.37M","0.48%"
"20/06/2024","20,725","20,775","20,900","20,675","4.71M","-0.12%"
"19/06/2024","20,750","21,175","21,225","20,725","6.54M","-1.43%"
"18/06/2024","21,050","21,150","21,475","21,050","3.66M","0.24%"
"17/06/2024","21,000","21,300","21,475","21,000","4.12M","0.00%"
"14/06/2024","21,000","21,600","21,625","21,000","5.44M","-2.78%"
"13/06/2024","21,600","21,650","21,750","21,450","4.29M","-0.23%"
"12/06/2024","21,650","21,400","21,750","21,250","4.59M","0.23%"
"11/06/2024","21,600","21,650","21,725","21,275","9.67M","-0.58%"
"10/06/2024","21,725","21,750","21,950","21,700","3.16M","-0.11%"
"07/06/2024","21,750","21,950","22,000","21,600","3.36M","-0.46%"
"06/06/2024","21,850","22,150","22,175","21,850","3.65M","-1.13%"
"05/06/2024","22,100","22,050","22,375","22,050","3.22M","0.23%"
"04/06/2024","22,050","22,150","22,275","22,000","2.93M","0.34%"
"03/06/2024","21,975","21,900","22,300","21,900","3.07M","0.92%"
"31/05/2024","21,775","21,750","22,300","21,650","3.33M","0.93%"
"30/05/2024","21,575","22,200","22,250","21,575","4.77M","-2.82%"
"29/05/2024","22,200","22,525","22,600","22,125","5.17M","-1.44%"
"28/05/2024","22,525","22,500","22,650","22,225","4.51M","0.00%"
"27/05/2024","22,525","22,475","22,625","22,225","3.43M","0.22%"
"24/05/2024","22,475","22,575","22,800","22,075","7.43M","-1.32%"
"23/05/2024","22,775","22,625","22,950","22,375","5.30M","0.11%"
"22/05/2024","22,750","23,175","23,450","22,750","6.30M","-2.05%"
"21/05/2024","23,225","23,500","23,850","23,225","6.67M","-0.54%"
"20/05/2024","23,350","23,500","23,775","23,175","6.45M","-0.32%"
"17/05/2024","23,425","23,375","23,450","23,125","4.34M","0.21%"
"16/05/2024","23,375","23,300","23,575","23,100","5.57M","0.86%"
"15/05/2024","23,175","23,100","23,375","23,000","2.72M","0.65%"
"14/05/2024","23,025","24,050","24,050","23,025","10.53M","2.33%"
"13/05/2024","22,500","22,650","22,675","22,175","3.42M","0.00%"
"10/05/2024","22,500","22,700","22,850","22,250","2.33M","-0.88%"
"09/05/2024","22,700","22,700","23,000","22,525","2.83M","0.00%"
"08/05/2024","22,700","22,550","22,700","22,150","3.43M","0.89%"
"07/05/2024","22,500","22,675","22,675","22,250","2.11M","0.56%"
"06/05/2024","22,375","22,225","22,375","21,925","3.05M","0.67%"
"03/05/2024","22,225","22,300","22,450","22,000","2.63M","0.11%"
"02/05/2024","22,200","22,000","22,200","21,800","3.19M","-0.11%"
"26/04/2024","22,225","20,975","22,225","20,950","5.40M","5.83%"
"25/04/2024","21,000","20,850","21,175","20,650","3.04M","0.96%"
"24/04/2024","20,800","20,550","20,975","20,550","3.17M","1.46%"
"23/04/2024","20,500","21,225","21,225","20,500","5.39M","-2.38%"
"22/04/2024","21,000","21,325","21,500","20,850","6.44M","-1.41%"
"19/04/2024","21,300","21,800","22,000","21,300","7.35M","-5.33%"
"17/04/2024","22,500","23,250","23,250","22,250","6.02M","-3.02%"
"16/04/2024","23,200","23,500","23,500","22,325","9.59M","-1.28%"
"15/04/2024","23,500","24,000","24,100","23,000","11.19M","-2.99%"
"12/04/2024","24,225","24,175","24,350","24,075","6.02M","0.31%"
"11/04/2024","24,150","24,125","24,275","23,875","6.80M","-0.41%"
"10/04/2024","24,250","23,850","24,325","23,825","10.32M","1.68%"
"09/04/2024","23,850","23,800","23,850","23,500","7.00M","0.00%"
"08/04/2024","23,850","24,000","24,000","23,675","5.90M","-0.21%"
"05/04/2024","23,900","23,725","23,975","23,650","6.77M","-0.10%"
"04/04/2024","23,925","23,625","23,975","23,625","8.24M","0.21%"
"03/04/2024","23,875","23,750","23,925","23,600","8.52M","-0.10%"
"02/04/2024","23,900","23,500","23,950","23,250","9.64M","-0.10%"
"01/04/2024","23,925","23,825","24,050","23,675","8.90M","0.42%"
"29/03/2024","23,825","23,925","23,950","23,650","7.05M","0.11%"
"28/03/2024","23,800","23,525","23,975","23,450","9.28M","1.17%"
"27/03/2024","23,525","23,525","23,650","23,350","8.41M","0.00%"
"26/03/2024","23,525","23,500","23,600","23,300","6.96M","0.43%"
"25/03/2024","23,425","23,300","23,700","23,075","9.48M","0.54%"
"22/03/2024","23,300","23,250","23,350","23,025","10.40M","0.22%"
"21/03/2024","23,250","23,250","23,425","22,950","7.05M","0.00%"
"20/03/2024","23,250","23,400","23,500","22,900","9.39M","-1.06%"
"19/03/2024","23,500","23,100","23,650","22,800","15.66M","1.95%"
"18/03/2024","23,050","22,425","23,100","21,950","15.47M","3.83%"
"15/03/2024","22,200","22,950","23,000","22,200","9.63M","-3.37%"
"14/03/2024","22,975","22,600","23,425","22,500","12.04M","2.11%"
"13/03/2024","22,500","22,125","22,500","22,050","4.48M","1.93%"
"12/03/2024","22,075","22,175","22,300","22,025","5.67M","-0.45%"
"11/03/2024","22,175","22,450","22,625","22,175","6.90M","-1.00%"
"08/03/2024","22,400","23,000","23,000","22,400","7.79M","-1.75%"
"07/03/2024","22,800","22,800","22,925","22,675","4.93M","0.66%"
"06/03/2024","22,650","22,650","23,425","22,600","9.31M","0.00%"
"05/03/2024","22,650","22,600","22,750","22,500","6.30M","0.11%"
"04/03/2024","22,625","22,650","22,875","22,575","7.48M","0.00%"
"01/03/2024","22,625","22,500","22,800","22,425","5.97M","0.56%"
"29/02/2024","22,500","23,000","23,075","22,500","8.03M","-1.32%"
"28/02/2024","22,800","22,950","23,200","22,625","6.74M","1.00%"
"27/02/2024","22,575","22,400","22,825","22,175","8.74M","1.23%"
"26/02/2024","22,300","22,675","22,875","22,150","10.18M","-1.33%"
"23/02/2024","22,600","23,975","23,975","22,600","19.75M","-5.04%"
"22/02/2024","23,800","23,625","23,850","23,500","8.05M","0.74%"
"21/02/2024","23,625","24,275","24,275","23,550","13.30M","-2.58%"
"20/02/2024","24,250","24,000","24,675","23,950","17.95M","3.19%"
"19/02/2024","23,500","22,150","23,500","22,150","33.27M","6.94%"
"16/02/2024","21,975","21,275","22,075","21,250","9.98M","3.29%"
"15/02/2024","21,275","21,250","21,400","21,100","3.87M","0.35%"
"07/02/2024","21,200","21,150","21,200","21,000","3.19M","0.24%"
"06/02/2024","21,150","21,125","21,175","20,950","3.19M","0.24%"
"05/02/2024","21,100","21,100","21,100","20,900","5.38M","0.24%"
"02/02/2024","21,050","21,175","21,250","21,025","3.96M","-0.59%"
"01/02/2024","21,175","21,225","21,250","21,025","4.39M","-0.35%"
"31/01/2024","21,250","21,350","21,400","21,050","5.48M","-0.47%"
"30/01/2024","21,350","21,325","21,400","21,250","2.67M","0.12%"
"29/01/2024","21,325","21,400","21,425","21,200","3.63M","-0.35%"
"26/01/2024","21,400","21,350","21,500","21,325","3.62M","0.00%"
"25/01/2024","21,400","21,550","21,550","21,400","2.31M","-0.81%"
"24/01/2024","21,575","21,600","21,625","21,450","3.39M","0.12%"
"23/01/2024","21,550","21,700","21,700","21,450","4.42M","-0.46%"
"22/01/2024","21,650","21,750","21,750","21,575","3.38M","0.00%"
"19/01/2024","21,650","21,675","21,725","21,575","5.81M","-0.12%"
"18/01/2024","21,675","21,500","21,750","21,500","3.45M","0.35%"
"17/01/2024","21,600","21,575","21,725","21,475","3.76M","0.12%"
"16/01/2024","21,575","21,500","21,625","21,425","2.87M","0.23%"
"15/01/2024","21,525","21,750","21,750","21,525","2.91M","0.12%"
"12/01/2024","21,500","21,750","21,750","21,350","5.93M","-1.49%"
"11/01/2024","21,825","21,800","22,000","21,700","3.33M","0.11%"
"10/01/2024","21,800","21,950","22,025","21,600","5.35M","-0.68%"
"09/01/2024","21,950","22,150","22,200","21,950","3.21M","-1.01%"
"08/01/2024","22,175","22,225","22,375","22,050","5.07M","0.57%"
"05/01/2024","22,050","22,075","22,100","21,950","2.96M","-0.11%"
"04/01/2024","22,075","22,075","22,200","21,900","4.68M","0.00%"
"03/01/2024","22,075","21,750","22,075","21,750","4.55M","0.34%"
"02/01/2024","22,000","22,475","22,475","22,000","4.56M","-1.35%"
"29/12/2023","22,300","22,325","22,425","22,225","4.34M","0.34%"
"28/12/2023","22,225","21,800","22,300","21,800","8.14M","1.95%"
"27/12/2023","21,800","21,825","21,975","21,800","3.70M","0.11%"
"26/12/2023","21,775","21,700","21,875","21,675","3.53M","0.35%"
"25/12/2023","21,700","21,550","21,775","21,500","3.96M","0.58%"
"22/12/2023","21,575","21,600","21,675","21,375","4.00M","-0.12%"
"21/12/2023","21,600","21,500","21,650","21,400","3.78M","-0.12%"
"20/12/2023","21,625","21,475","21,725","21,425","3.52M","0.12%"
"19/12/2023","21,600","21,650","21,650","21,150","5.63M","0.00%"
"18/12/2023","21,600","21,850","21,975","21,525","4.69M","-1.14%"
