"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/06/2024","14,850.0","14,000.0","14,850.0","14,000.0","0.40K","6.07%"
"25/06/2024","14,000.0","13,550.0","15,000.0","13,500.0","2.60K","-3.45%"
"24/06/2024","14,500.0","14,500.0","14,500.0","14,500.0","","0.00%"
"21/06/2024","14,500.0","14,500.0","14,500.0","14,500.0","0.40K","-2.68%"
"20/06/2024","14,900.0","14,500.0","14,900.0","14,500.0","0.50K","0.00%"
"19/06/2024","14,900.0","14,900.0","14,900.0","14,900.0","0.30K","6.43%"
"18/06/2024","14,000.0","14,000.0","14,000.0","14,000.0","","-3.45%"
"17/06/2024","14,500.0","14,500.0","14,500.0","14,500.0","","-3.33%"
"14/06/2024","15,000.0","15,000.0","15,500.0","15,000.0","0.60K","3.45%"
"13/06/2024","14,500.0","15,000.0","15,000.0","13,600.0","2.50K","0.00%"
"12/06/2024","14,500.0","14,300.0","15,300.0","14,300.0","1.80K","8.61%"
"11/06/2024","13,350.0","13,350.0","13,350.0","13,350.0","","-6.64%"
"10/06/2024","14,300.0","14,200.0","14,800.0","14,200.0","0.50K","3.25%"
"07/06/2024","13,850.0","13,500.0","14,100.0","13,500.0","1.60K","3.36%"
"06/06/2024","13,400.0","13,400.0","13,400.0","13,400.0","0.40K","-0.74%"
"05/06/2024","13,500.0","12,900.0","14,200.0","12,800.0","2.80K","-1.46%"
"04/06/2024","13,700.0","13,700.0","13,700.0","13,700.0","0.50K","-6.16%"
"03/06/2024","14,600.0","13,900.0","14,600.0","13,800.0","0.70K","-1.35%"
"31/05/2024","14,800.0","14,250.0","14,900.0","14,250.0","0.30K","-2.95%"
"29/05/2024","15,250.0","14,350.0","15,350.0","14,350.0","0.30K","-0.97%"
"28/05/2024","15,400.0","15,400.0","15,400.0","15,400.0","5.60K","0.00%"
"27/05/2024","15,400.0","14,300.0","15,400.0","14,300.0","2.10K","6.21%"
"24/05/2024","14,500.0","13,800.0","14,500.0","13,800.0","0.20K","5.07%"
"23/05/2024","13,800.0","14,350.0","14,350.0","13,800.0","5.80K","2.60%"
"22/05/2024","13,450.0","13,450.0","13,450.0","13,450.0","5.60K","6.75%"
"20/05/2024","12,600.0","12,600.0","12,600.0","12,600.0","1.20K","0.00%"
"17/05/2024","12,600.0","12,550.0","12,800.0","12,550.0","1.70K","0.40%"
"15/05/2024","12,550.0","12,550.0","12,550.0","12,550.0","14.20K","0.00%"
"13/05/2024","12,550.0","12,550.0","12,550.0","12,550.0","0.30K","-1.95%"
"10/05/2024","12,800.0","12,000.0","12,800.0","11,900.0","0.90K","0.79%"
"09/05/2024","12,700.0","12,000.0","12,700.0","12,000.0","0.50K","5.83%"
"08/05/2024","12,000.0","12,000.0","12,000.0","12,000.0","0.10K","4.35%"
"07/05/2024","11,500.0","11,500.0","12,100.0","11,500.0","0.50K","-6.50%"
"06/05/2024","12,300.0","12,300.0","12,300.0","12,300.0","6.30K","0.00%"
"25/04/2024","12,300.0","11,550.0","12,300.0","11,500.0","0.50K","6.96%"
"24/04/2024","11,500.0","11,500.0","11,500.0","11,500.0","0.20K","-6.88%"
"23/04/2024","12,350.0","12,350.0","12,350.0","12,350.0","0.30K","-6.79%"
"22/04/2024","13,250.0","12,500.0","13,250.0","12,500.0","0.20K","3.52%"
"19/04/2024","12,800.0","12,800.0","12,800.0","12,800.0","0.40K","-2.29%"
"12/04/2024","13,100.0","12,850.0","13,100.0","12,850.0","3.00K","-5.07%"
"29/03/2024","13,800.0","14,000.0","14,000.0","13,800.0","1.10K","-2.13%"
"27/03/2024","14,100.0","12,950.0","14,200.0","12,950.0","8.50K","6.02%"
"26/03/2024","13,300.0","13,000.0","13,300.0","13,000.0","1.30K","0.00%"
"22/03/2024","13,300.0","13,300.0","13,300.0","13,300.0","0.10K","0.00%"
"21/03/2024","13,300.0","13,800.0","13,800.0","13,300.0","0.30K","3.10%"
"14/03/2024","12,900.0","12,900.0","12,900.0","12,900.0","0.70K","0.00%"
"13/03/2024","12,900.0","12,900.0","12,900.0","12,900.0","1.00K","-6.86%"
"11/03/2024","13,850.0","13,850.0","13,850.0","13,850.0","0.40K","2.59%"
"08/03/2024","13,500.0","12,150.0","13,850.0","12,100.0","2.20K","3.85%"
"07/03/2024","13,000.0","13,000.0","13,000.0","13,000.0","0.10K","-6.47%"
"06/03/2024","13,900.0","13,900.0","13,900.0","13,900.0","1.00K","0.00%"
"05/03/2024","13,900.0","13,900.0","13,950.0","13,900.0","1.90K","-6.71%"
"28/02/2024","14,900.0","14,900.0","14,900.0","14,900.0","0.40K","-0.33%"
"26/02/2024","14,950.0","13,900.0","14,950.0","13,900.0","1.50K","5.65%"
"23/02/2024","14,150.0","14,150.0","14,150.0","14,150.0","0.20K","6.39%"
"21/02/2024","13,300.0","13,400.0","13,400.0","13,300.0","13.30K","5.98%"
"19/02/2024","12,550.0","12,550.0","12,550.0","12,550.0","0.30K","0.00%"
"16/02/2024","12,550.0","13,500.0","13,500.0","12,550.0","0.20K","-3.09%"
"06/02/2024","12,950.0","12,950.0","12,950.0","12,950.0","0.10K","-3.72%"
"02/02/2024","13,450.0","14,500.0","14,500.0","13,450.0","0.60K","-5.94%"
"01/02/2024","14,300.0","15,950.0","15,950.0","14,300.0","0.50K","-6.84%"
